,S/No.,Date,Closing Price,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6
211,51,10/23/2019,1492.21,"gold steady as investors await brexit clarity, fed meeting","gold gains on brexit jitters, market eyes fed meeting","gold rises as stocks ease on brexit, tech concerns",gold holds steady amid brexit uncertainties; technical buying gives support,#N/A,#N/A
212,50,10/24/2019,1502.81,gold hits 2-week high as weak u.s. data boosts rate-cut bets,corrected-gold gains on rate-cut bets; platinum hits over 3-week high,gold muted as investors eye ecb meet; platinum holds above $900,gold edges down as investors await clarity on brexit,#N/A,#N/A
213,49,10/25/2019,1504.44,gold pares gains as trade optimism lifts stocks; palladium surges,"gold set for best week in five, palladium sets record high",gold hits two-week high on weak u.s. data; palladium scales new peak,#N/A,#N/A,#N/A
214,48,10/28/2019,1491.81,"gold steady as trade talks progress, markets await fed's rate decision","scarce palladium scales $1,800/oz peak; gold dips as equities soar","gold eases as u.s.-china trade talks advance, fed meeting looms",gold edges up as markets eye fed's decision on rates,#N/A,#N/A
215,47,10/29/2019,1487.39,gold steady on potential trade delay; focus on fed rate decision,gold falls to 1-week low on trade optimism; focus on fed,"gold falls on stronger dollar, markets await fed meeting",gold subdued as equities jump on trade hopes; focus on fed,#N/A,#N/A
216,46,10/30/2019,1495.37,"gold inches up on fed rate cut cheer, sombre dollar",gold gains ahead of fed; palladium hits record high,gold firms as investors await fed verdict,gold prices rise as investors await fed verdict,gold prices range-bound ahead of expected fed rate cut,#N/A
217,45,10/31/2019,1512.25,gold set for second weekly rise on trade deal uncertainties,"gold gains 1% propped up by u.s. interest rate cut, trade talk woes",gold gains on dollar weakness and trade uncertainty,gold gains as dollar weakens after fed's interest rate cut,#N/A,#N/A
218,44,11/01/2019,1513.9,"gold slips on positive u.s. jobs, china factory data",gold eases as china factory data whets risk appetite,gold eases as strong china factory data prompts profit booking,#N/A,#N/A,#N/A
219,43,11/04/2019,1506.8,gold prices slip as dollar climbs on trade deal optimism,gold eases on upbeat risk sentiment,"gold eases on stronger equities, u.s.-china trade optimism",gold steady on weak dollar; trade optimism lifts risk mood,#N/A,#N/A
220,42,11/05/2019,1484.31,gold firms as markets await clarity on trade talks,gold faces biggest fall in over a month as trade hopes revive,gold slips as trade deal hopes fuel risk appetite,gold eases as u.s.-china trade deal hopes boost dollar,#N/A,#N/A
221,41,11/06/2019,1490.34,gold little changed as investors seek clarity on trade negotiations,gold prices gain on u.s.-china trade deal jitters,"gold firms as stocks pause, trade uncertainty lingers",gold inches up as markets await cues on trade deal,#N/A,#N/A
222,40,11/07/2019,1468.79,"gold hovers near 1-month low after china, u.s. agree on tariff roll-back",gold slumps to 1-month low on u.s.-china tariff rollback,gold eases as trade deal hopes whet risk appetite,gold eases as positive trade news boosts risk sentiment,#N/A,#N/A
223,39,11/08/2019,1458.7,"gold hits 3-month low, faces biggest weekly drop in 3 years",gold set for biggest weekly drop in 3 years on trade optimism,gold inches up on u.s.-china trade deal uncertainty,#N/A,#N/A,#N/A
224,38,11/11/2019,1455.72,gold flat as investors shift focus to trump speech,gold slips to over 3-month low as equities rise on 'risk-on' sentiment,"gold rises on trade war doubts, weak stocks on hong kong turmoil","gold rises on trade deal uncertainty, economic slowdown, hk violence",#N/A,#N/A
225,37,11/12/2019,1458.49,"gold hit by uncertainty over u.s.-china trade deal, firmer dollar",gold prices dip on upbeat appetite for riskier assets,gold eases as hopes of u.s.-china trade progress lift risk appetite,gold edges down as market turns optimistic on trade negotiations,#N/A,#N/A
226,36,11/13/2019,1463.65,gold inches down as hawkish fed weighs on safe-haven demand,gold rises as trade deal doubts pressure equities,gold rises as trade uncertainty hurts risk appetite,gold firms as doubts over u.s.-china trade deal curb risk appetite,#N/A,#N/A
227,35,11/14/2019,1469.3,refile-gold falls as u.s.-china trade pact hopes spur risk appetite,"gold rises on waning trade deal hopes and dip in equities, dollar","gold gains as risk appetite falters, trade optimism sours",gold gains as weak china data dents risk appetite,#N/A,#N/A
228,34,11/15/2019,1468,gold slips as trade optimism derails safe-haven demand,gold slips as u.s.-china deal hopes cheer stock markets,gold falls as u.s.-china trade deal hopes whet risk appetite,#N/A,#N/A,#N/A
229,33,11/18/2019,1471.83,gold rises as sino-u.s. trade deal doubts resurface,gold erases losses as u.s.-china trade hopes ebb,gold slips as u.s.-china trade deal optimism boosts equities,gold prices dip on optimism over u.s.-china trade deal,#N/A,#N/A
230,32,11/19/2019,1474.5,"gold rises as sino-u.s. trade, hong kong tensions escalate",gold rebounds as impeachment inquiry uncertainty weighs on stocks,gold slips as fresh hopes for u.s.-china deal boost stocks,refile-gold prices steady as u.s.-china trade deal doubts linger,#N/A,#N/A
231,31,11/20/2019,1474.52,gold rises on uncertainty over sino-u.s. trade deal,"gold little changed after fed minutes, trade tensions lend support",gold gains as souring u.s.-china relations hit risk appetite,gold gains on u.s.-china tensions; markets eye fed minutes,#N/A,#N/A
232,30,11/21/2019,1465.23,gold steady amid mixed signals on u.s.-china trade talks,gold dips as hopes for u.s.-china trade deal re-emerge,gold eases as china invites u.s. officials for talks,gold steady on concerns of delay in u.s.-china trade deal,#N/A,#N/A
233,29,11/22/2019,1462.36,"gold prices ease as strong u.s. data lifts dollar, yields",gold rises as 'phase one' trade deal doubts persist,gold gains as u.s.-china trade uncertainty lingers,#N/A,#N/A,#N/A
234,28,11/25/2019,1453.9,gold dips as china-u.s. trade optimism dents safe-haven demand,gold slides to two-week low on hopes for thaw in trade feud,gold dips as trade deal optimism benefits riskier assets,gold slips as trade deal optimism boosts riskier assets,#N/A,#N/A
235,27,11/26/2019,1460.66,gold eases as trump's remarks boost trade deal hopes,gold edges off 2-week lows as sino-u.s. trade caution lingers,gold steadies near two-week low as focus remains on u.s.-china talks,gold steadies on doubts over progress in u.s.-china trade talks,#N/A,#N/A
236,26,11/27/2019,1457.1,gold gains as u.s. bill backing hk protesters fuels trade deal doubts,gold drops as trade deal hopes boost wall street to record,"gold softens as trade deal signs boost equities, dollar","gold slips as trump says u.s., china close to trade deal",#N/A,#N/A
237,25,11/28/2019,1456.15,gold eyes worst month in 3 years amid trade deal hopes,gold treads water as investors assess u.s.-china trade developments,gold gains as hong kong tensions fuel trade deal doubts,#N/A,#N/A,#N/A
238,24,11/29/2019,1463.96,gold faces worst month since june 2018; markets seek clarity on trade talks,gold steadies as trade doubts persist; faces worst month in 3-years,gold little changed amid trade deal doubts; set for worst month in 3 years,#N/A,#N/A,#N/A
239,23,12/02/2019,1462.75,gold inches up as trump's latin american tariffs curb risk appetite,"gold steadies after weak u.s. data; palladium zooms past $1,860/oz","gold slips on strong chinese data, palladium soars to new record","gold slips on firm dollar, positive china factory data",#N/A,#N/A
240,22,12/03/2019,1476.83,gold hovers near 1-month peak as trade concerns linger,gold jumps over 1% as trump says trade deal could extend to 2020,advisory-alert on spot gold wrongly coded to french utility edf,gold scales over 1-week peak on increasing global trade tensions,gold prices tread water despite trump's latam tariffs,#N/A
241,21,12/04/2019,1475.62,gold steady as dollar weakens on dour u.s. data,"gold retreats as trade optimism resurfaces, palladium soars",gold steadies as investors await clarity on u.s.-china trade,gold hits near 1-month high as trade drag prompts safety buying,#N/A,#N/A
242,20,12/05/2019,1476.04,refile-gold flat as risk sentiment rises on trade optimism; set for a weekly rise,rpt-gold firms as u.s.-china trade uncertainty persists,gold firms as u.s.-china trade uncertainty persists,gold unchanged as u.s.-china trade uncertainty persists,gold prices steady on mixed u.s.-china trade signals,#N/A
243,19,12/06/2019,1460.12,gold slips 1% after robust u.s. jobs data; palladium soars,gold steadies on trade optimism ahead of u.s. jobs data,"gold falls on china tariff move, but set for a weekly gain",#N/A,#N/A,#N/A
244,18,12/09/2019,1461.2,"gold steady ahead of fed meet, awaits clarity on fresh u.s. tariffs","palladium eyes $1,900 in record surge; gold firms on trade doubts",gold gains as trade tariff deadline looms,gold inches up on u.s.-china trade uncertainty; fed meet in focus,#N/A,#N/A
245,17,12/10/2019,1464,"gold range-bound ahead of fed decision, tariff deadline","palladium breaches $1,900 ceiling after south africa outages",gold firms as trade deadline nears; investors await fed verdict,"gold little changed ahead of fed meeting, u.s. tariff deadline",#N/A,#N/A
246,16,12/11/2019,1474.7,gold holds overnight gains after fed keeps rates steady,"gold rises 1% after fed stands pat on rates, curbs hike hopes",gold firms ahead of tariff deadline and central bank decisions,"gold stalls ahead of fed policy statement, tariffs deadline",#N/A,#N/A
247,15,12/12/2019,1465.11,gold prices slip as trade euphoria lifts risk appetite,gold down after trump says close to trade deal,gold holds steady as tariff deadline nears,gold little changed as u.s. tariff deadline approaches,#N/A,#N/A
248,14,12/13/2019,1475.64,gold gains as lack of details on trade deal lifts demand,gold remains below one-month peak as shares soar on trade relief,gold steady as weaker dollar offsets effect of rising equities,#N/A,#N/A,#N/A
249,13,12/16/2019,1475.41,gold on hold as sino-u.s. trade uncertainty persists,gold steadies as trade uncertainties linger,gold steadies as investors seek clarity on u.s.-china trade deal,"gold steadies as dollar dips, traders await trade deal fineprint",#N/A,#N/A
250,12,12/17/2019,1475.7,gold steady as trade deal doubts offset positive u.s. data,"gold steadies; palladium retreats after surge toward $2,000/oz","palladium eases after record run towards $2,000","gold steady as markets crave trade details; palladium eyes $2,000/oz",#N/A,#N/A
251,11,12/18/2019,1475.84,gold gains as u.s. house votes to impeach trump,"gold dips as dollar rises; palladium falls back from near $2,000","gold dips on stronger dollar, palladium pulls back from high",gold muted as investors await trade deal details; palladium falls,#N/A,#N/A
252,10,12/19/2019,1478.5,gold inches lower on trade optimism; all eyes on u.s. gdp data,gold firms as markets await more details on trade deal,gold eases as trade optimism offsets u.s. political uncertainty,gold inches up as trump impeachment stokes political uncertainty,#N/A,#N/A
253,9,12/20/2019,1478.15,palladium drops over 5% as investors lock in profits; gold subdued,gold stalls as trade progress weighs on safe-haven demand,gold edges down as trade progress supports riskier assets,#N/A,#N/A,#N/A
254,8,12/23/2019,1485.56,"gold holds ground on weak u.s. data, trade deal concerns",gold firms on sparse trade as economic concerns support,gold rises on trade uncertainty in thin turnover,gold gains in pre-holiday trade on doubts over china-u.s. deal,#N/A,#N/A
255,7,12/24/2019,1498.18,"gold breaks above $1,500 on growth fears, stock market highs",gold scales 1-1/2 month peak on sombre u.s. economic data,gold prices rise on soft u.s. data and trade concerns,#N/A,#N/A,#N/A
256,6,12/25/2019,1499.55,gold steady as markets await trade deal signing details,#N/A,#N/A,#N/A,#N/A,#N/A
257,5,12/26/2019,1511.16,gold eases as stocks gain; set for best weekly jump in over 4 months,gold rises to near 2-month high in thin holiday trade,gold prices climb as trade deal concerns linger,"corrected-gold rises above $1,500 level as investors await trade deal signing",#N/A,#N/A
258,4,12/27/2019,1511.08,"gold inches up, on track for best week in four months",gold holds steady near two-month peak in slow year-end trading,gold slips from 2-month high on profit-taking; eyes best week in 4 months,#N/A,#N/A,#N/A
259,3,12/30/2019,1515.02,"gold prices steady, set for best year since 2010",gold inches up on growth concerns as dollar dips,"gold hits 2-month peak on dollar weakness, u.s. air strikes","gold hits 2-mth peak on dollar weakness, u.s. air strikes",#N/A,#N/A
260,2,12/31/2019,1517.24,golden year for precious metals as 2019 sees glistening run,"gold gains, set for biggest yearly rise since 2010",gold at 3-month peak; set for biggest annual rise since 2010,gold climbs to 3-month peak; set for biggest annual rise since 2010,"gold climbs to 3-month high, poised for best year since 2010",#N/A
261,522,01/01/2020,1518.41,gold prices edge higher on soft dollar,#N/A,#N/A,#N/A,#N/A,#N/A
262,521,01/02/2020,1528.95,"gold edges up on weaker dollar, set for 4th weekly gain",gold races to 3-month peak on doubts over stocks rally,"gold rises back towards 3-month high, markets eye fed minutes",gold prices inch higher on u.s. dollar weakness,#N/A,#N/A
263,520,01/03/2020,1552.24,gold jumps to 4-month peak as middle east tensions spark safety buying,gold rallies to 4-month high after u.s. air strike in baghdad,gold jumps 1% as mideast tensions spur safe-haven bid,#N/A,#N/A,#N/A
264,519,01/06/2020,1563.83,gold slips from near 7-year high as u.s.-iran tensions ease,gold soars as middle east tensions brew 'perfect storm',gold powers towards 7-year peak as investors rush for safety,"gold rises to near 7-year high on u.s.-iran conflict; palladium breaches $2,000",#N/A,#N/A
265,518,01/07/2020,1595.24,"gold soars past $1,600/ounce after iran attack on u.s. forces","gold edges up, but trades below 7-year peak as middle east worries ebb",corrected (official)-gold soars as middle east tensions brew 'perfect storm' (jan. 6),gold slips from near 7-year high on lull in u.s.-iran tensions,gold prices edge higher as u.s.-iran tensions persist,#N/A
266,517,01/08/2020,1557.89,gold little changed as fears of larger u.s.-iran conflict ease,gold tumbles as trump allays middle east worries,gold eases off 7-year peak as middle east worries abate,"gold below $1,600 as markets await u.s. reaction to iran attacks",gold races to near 7-year peak after iran strike on u.s. forces,#N/A
267,516,01/09/2020,1552.72,gold inches down as easing u.s.-iran tensions whet risk appetite,gold's rally fizzles on de-escalating u.s.-iran tensions,gold slides from near 7-year peak as u.s.-iran fears subside,gold drops from 7-year highs as u.s.-iran worries abate,#N/A,#N/A
268,515,01/10/2020,1562.05,"gold firms on renewed u.s.-iran tensions, eyes fifth weekly gain",gold extends fall as fading middle east tensions boost risk appetite,gold inches lower amid rising equities as mideast tensions fade,#N/A,#N/A,#N/A
269,514,01/13/2020,1545.44,gold falls ahead of u.s.-china trade deal on improved risk appetite,"gold slips as risk-on sentiment weighs, trade deal in view",gold slips 1% ahead of u.s.-china trade deal,gold slips as asian equities rise ahead of sino-u.s. trade deal,#N/A,#N/A
270,513,01/14/2020,1549.6,gold inches up as u.s. says china tariffs in place till phase 2 deal,"gold dips as trade deal signing nears, palladium hits record high","gold dips ahead of u.s.-china deal, palladium hits record high","gold dips to near 2-week low on solid china data, trade deal optimism",#N/A,#N/A
271,512,01/15/2020,1556.35,gold steady as uncertainties linger after u.s.-china trade deal,gold firms as u.s.-china trade deal details fail to allay uncertainty,gold rises on u.s.-china trade concerns; platinum hits near 2-year peak,gold gains as investors doubt impact of u.s.-china phase 1 deal,#N/A,#N/A
272,511,01/16/2020,1552.27,"gold eases on demand for riskier assets, set for worst week in 2 months","gold slips as signing of trade deal, u.s. data prop up stock markets","gold steadies after u.s.-china deal, palladium jumps over 5%",gold inches down as u.s.-china trade deal stokes risk-taking,#N/A,#N/A
273,510,01/17/2020,1557.3,"palladium's relentless rally pushes it above $2,500 an ounce",gold edges higher but faces first weekly decline in six,gold firm but on track for biggest weekly fall in 2 months,#N/A,#N/A,#N/A
274,509,01/20/2020,1561.31,gold hits 2-week high on safe-haven demand,"gold gains on heightened safe-haven interest, palladium soars","gold gains on yemen attacks, china lunar new year buying",#N/A,#N/A,#N/A
275,508,01/21/2020,1556.56,gold eases as markets assess risks from china virus,"gold falls 1% after hitting two-week high but stays above $1,550",gold eases off 2-week peak; safe haven demand limits declines,gold climbs to 2-week high as china flu scare spurs safe-haven bids,#N/A,#N/A
276,507,01/22/2020,1561.45,gold steady as fears of china virus epidemic mount,gold slips on resurgent risk appetite as virus fears ebb,gold holds steady on central bank policy expectations,gold slips as dollar gains and china steps up virus countermeasures,#N/A,#N/A
277,506,01/23/2020,1561.04,gold eases after who says china virus not a global emergency,gold firms as risk appetite wanes on coronavirus fears,gold steadies as risk sentiment sours on virus threat,"gold dips on profit-taking, rate expectations cap losses",gold prices inch lower as markets eye ecb decision,#N/A
278,505,01/24/2020,1571.56,gold scales two-week peak as virus fears fuel safe-haven bids,gold eases as who tempers virus fears,gold inches lower as investors seek clarity on virus severity,#N/A,#N/A,#N/A
279,504,01/27/2020,1581.17,gold steady as china virus fears offset stronger dollar,gold hits three-week high as virus fears spur flight to safety,gold gains 1% as virus fears fan growth worries,gold climbs to 2-week high as virus fears spark safety buying,#N/A,#N/A
280,503,01/28/2020,1568.59,"gold steady as markets gauge virus impact, await fed decision","gold dips as stocks recover, dollar gains ahead of fed meeting",gold eases off 3-week peak as equities sell-off pauses,gold eases ahead of fed meeting; virus fears persist,#N/A,#N/A
281,502,01/29/2020,1577.2,gold edges up as fed flags coronavirus concerns,"gold rises as virus woes persist, focus shifts to fed","gold gains as virus concerns linger, investors await fed",gold inches up as virus fears mount; markets await fed decision,#N/A,#N/A
282,501,01/30/2020,1575.21,"gold eases on china data, but set for monthly gain amid virus fears",gold rises as china virus fears stoke demand for safe havens,gold holds gains on worries of coronavirus impact on world economy,gold gains as virus fuels economic worry,#N/A,#N/A
283,500,01/31/2020,1589.4,gold set for best month in five as virus stifles risk appetite,"gold gains on epidemic fears, eyes best month in five",gold inches higher on virus concerns; set for monthly gain,#N/A,#N/A,#N/A
284,499,02/03/2020,1578.96,firm dollar weighs on gold prices amid virus threats,"gold slides 1% as dollar gains, risk sentiment improves",gold retreats as china seeks to limit virus damage,"gold skids 1% on china measures, stronger dollar",#N/A,#N/A
285,498,02/04/2020,1554.04,gold prices edge higher on virus worries,gold falls 1% as china works to stem economic impact of virus,gold falls as china's virus measures boost risk appetite,"gold eases on profit-taking, virus scare limits losses",#N/A,#N/A
286,497,02/05/2020,1556.1,gold steady as virus fears offset robust u.s. data,"gold rebounds on bargain hunting, bets for loose central bank policy",gold near 2-week low after reports of anti-coronavirus drug,gold gains as coronavirus epidemic fuels safe-haven demand,#N/A,#N/A
287,496,02/06/2020,1565.89,gold inches up on virus concerns; set for worst week since early nov,gold gains on bets for low central bank rates as virus woes persist,gold gains on bets for low central bank rates as virus woes prevail,concern over coronavirus drives gold higher,gold gains as markets assess economic impact of virus,#N/A
288,495,02/07/2020,1570.41,gold gains as virus fears outweigh strong u.s. jobs data,gold steadies as virus concerns stall stock markets,gold steady as equities retreat on fears of virus impact on growth,#N/A,#N/A,#N/A
289,494,02/10/2020,1572.06,gold steady as virus fears counter firmer equities,gold climbs to 1-week peak as virus fears boost safety demand,gold gains as markets count economic toll from coronavirus,gold steadies as markets weigh severity of coronavirus outbreak,#N/A,#N/A
290,493,02/11/2020,1567.2,gold flat as risk sentiment improves on slowing virus threat,"gold slips as stronger dollar, risk-on sentiment weighs",gold inches lower as new coronavirus cases dip,gold eases from 1-week high as safe-haven demand moves to dollar,#N/A,#N/A
291,492,02/12/2020,1570.28,gold rises as jump in new virus cases weigh on equities,gold subdued as abating coronavirus fears whet risk appetite,gold near one-week low as coronavirus fears ease,gold eases on rising risk appetite as new virus cases fall,#N/A,#N/A
292,491,02/13/2020,1577.48,gold steadies near one-week high as virus toll stalls stock markets,gold rises to over 1-week high as virus victims mount in china,gold gains on rise in chinese coronavirus cases,gold gains as stocks lose steam on surge in virus cases,#N/A,#N/A
293,490,02/14/2020,1583.89,gold poised for a weekly gain as virus fears lift safe-haven demand,gold steady as investors gauge coronavirus economic impact,gold eases as equities shrug off virus fears,#N/A,#N/A,#N/A
294,489,02/17/2020,1584.23,gold prices hit 2-week high as equities dip on virus impact,gold down in thin holiday trade as china seeks to limit virus impact,gold eases from near 2-week high on china central bank stimulus,gold holds near 2-week high on uncertainty over virus impact,#N/A,#N/A
295,488,02/18/2020,1600.97,gold eases as drop in virus cases lifts risk appetite,"gold back above $1,600/oz as apple's virus warning lifts safety demand",gold scales two-week high as coronavirus hits business,gold rises on rising business impact of virus outbreak,#N/A,#N/A
296,487,02/19/2020,1610.51,"gold eases from 7-yr peak on slowing virus spread, china stimulus hopes","gold firms above $1,600/oz on coronavirus impact fears, palladium hits record",gold nears 7-year peak on virus economic impact; palladium hits record,"gold holds above $1,600 on fears over economic impact of virus",#N/A,#N/A
297,486,02/20/2020,1622.3,gold steady near 7-yr peak as persistent virus fears dampen china stimulus,gold climbs to 7-year high as virus seen impacting global growth,gold climbs to 7-yr high as virus woes boost safety demand,"gold eases, but holds near 7-year peak on virus concerns",#N/A,#N/A
298,485,02/21/2020,1643.62,gold surges 1.5% on growing coronavirus concerns,gold jumps to 7-year high on fears virus will hit global growth,"gold at 7-year high, set for strongest week in 6-mths",#N/A,#N/A,#N/A
299,484,02/24/2020,1653.8,"gold falls from 7-year high on profit-taking, virus fears cap losses",gold surges to 7-year peak as pandemic fears spark safe-haven rush,gold soars more than 2.5% as virus triggers flight to safety,gold jumps over 2% as virus spread spurs safe-haven demand,#N/A,#N/A
300,483,02/25/2020,1640.23,gold gains as pandemic fears hit risk appetite,"gold retreats from multi-year peak, but virus fears remain","gold slides from 7-year high, coronavirus concerns persist","gold retreats from 7-year high, but virus fears limit losses",#N/A,#N/A
301,482,02/26/2020,1643.74,gold gains as rapid spread of virus spurs safe-haven demand,"gold rises as coronavirus fears, rate cut bets boost demand",gold rebounds as virus spread fuels rate cut hopes,gold gains as u.s. warning heightens virus concerns,#N/A,#N/A
302,481,02/27/2020,1645.57,gold rises as coronavirus fuels global slowdown worries,"gold pares gains, global growth woes lend support",gold rises on pandemic fears; palladium scales new peak,"gold gains on virus spread, rate cut hopes; palladium surges to record",#N/A,#N/A
303,480,02/28/2020,1586.46,"palladium slumps nearly 13%, gold up to 4.6% as precious metals join virus-led free fall",gold slides to 1-wk low; eyes 3rd monthly gain as virus worsens,"gold slips, but on track for 3rd monthly gain on pandemic fears",#N/A,#N/A,#N/A
304,479,03/02/2020,1592.23,gold inches up as virus spread fuels rate cut bets,gold gains as coronavirus raises policy-easing chances,gold climbs on coronavirus-driven interest rate cut bets,gold rises 1% as virus risks boost rate cut hopes,#N/A,#N/A
305,478,03/03/2020,1645.88,gold extends gains on surprise fed rate cut,gold jumps over 3% after u.s. fed's emergency rate cut,gold rises on policy stimulus expectations as g7 meets,gold gains on hopes of rate cuts by global central banks,#N/A,#N/A
306,477,03/04/2020,1636.48,"gold prices little changed amid virus fears, stronger equities weigh","gold steady after fed-driven rally; stronger dollar, stocks cap gains",gold steadies after previous day's rally on fed cut,"gold retreats as equities, dollar recover",#N/A,#N/A
307,476,03/05/2020,1674.67,refile-gold set for best week in over 8 years on coronavirus fears,gold jumps 2% as virus fears put premium on safety,gold rises 1% as coronavirus fears drive investors to safe haven,"gold gains on virus risks, but uptick in equities caps gains",#N/A,#N/A
308,475,03/06/2020,1674.52,volatile gold slides from 7-year peak as traders cover margins,gold up 1% on way to biggest weekly gain in 11 years as virus risks mount,gold set for biggest weekly gain since oct 2011 as fears mount over virus impact,#N/A,#N/A,#N/A
309,474,03/09/2020,1666.61,gold falls 1% as u.s. economic stimulus hopes lift dollar,"gold backtracks from $1,700 top on profit-taking",gold gains as global markets slide on coronavirus fears,#N/A,#N/A,#N/A
310,473,03/10/2020,1652.5,gold gains amid doubts over u.s. stimulus package,refile-gold slides further as global stimulus hopes buoy equity markets,gold dips 1% on expected global measures to soften virus blow,gold falls 1% as global stimulus hopes boost risk assets,#N/A,#N/A
311,472,03/11/2020,1643.42,gold gains on global growth fears as who declares pandemic,gold prices ease as investors cover margins,gold rises 1% as virus fears overshadow firmer equities,gold rises as concerns over u.s. stimulus dent risk appetite,#N/A,#N/A
312,471,03/12/2020,1576.95,gold set for biggest weekly drop in nearly 7 years in virus-led sell-off,"palladium tumbles 28%, gold slumps over 4% in virus-led rout",gold prices rise as stocks plunge on u.s. travel ban,gold gains as virus fears deepen after u.s. travel ban,#N/A,#N/A
313,470,03/13/2020,1529.29,"gold dives, palladium heads for record weekly decline","gold, palladium set for weekly falls after market mayhem","gold, palladium rebound, but set for sharp weekly fall",#N/A,#N/A,#N/A
314,469,03/16/2020,1507.2,gold extends losses from monday's meltdown on flight for cash,platinum slumps to lowest since 2002 as precious metals collapse,metals in meltdown as platinum hits lowest level since late 2002,"gold rises after fed rate cut, but pares gains on cash hunt",#N/A,#N/A
315,468,03/17/2020,1537.79,gold rises on fed measures to combat virus impact,gold rebounds as recent plunge opens door for bargain hunters,"gold drops 3%, other metals extend slide in rush for cash",gold extends fall as investors rush to hoard cash,#N/A,#N/A
316,467,03/18/2020,1498.75,gold rises as ecb measures to limit virus impact lift sentiment,gold slides over 3% as virus fears drive investors toward cash,gold tumbles as virus fears outweigh u.s. stimulus,gold reverses course to fall 1% as flight for cash resumes,#N/A,#N/A
317,466,03/19/2020,1471.47,gold gains but set for weekly drop amid flight for cash,"gold drops 1% as investors cash out, dollar surges",gold slips as coronavirus-led cash hunt eclipses stimulus measures,gold dips in volatile trade as rush for cash overshadows stimulus efforts,#N/A,#N/A
318,465,03/20/2020,1498.39,gold rises as stimulus measures halt virus-led cash run,"gold jumps 3%, platinum 8% as stimulus stalls cash hunt",gold rises 1% on safe-haven appeal but set for weekly drop,#N/A,#N/A,#N/A
319,464,03/23/2020,1567.03,gold rises over 1% as u.s. fed ramps up support measures,gold surges over 4% after fed unveils new stimulus plans,gold dips as investors overlook stimulus measures in cash dash,"gold falls as cash dash, strong dollar override stimulus",#N/A,#N/A
320,463,03/24/2020,1634.4,gold extends gains on hopes of u.s. stimulus package,"palladium, platinum soar on s. africa lockdown; gold rallies","palladium soars, eyes best day in two decades on s. africa lockdown",gold rises as fed bonanza stalls cash rush,#N/A,#N/A
321,462,03/25/2020,1611.15,"rpt-gold falls on cash run, markets await u.s. stimulus","gold falls on cash run, markets await u.s. stimulus",palladium heads for its best day since 1997 on s. africa lockdown,gold slips as virus panic offsets u.s. stimulus hopes,gold falls as cash rush outweighs u.s. stimulus cheer,#N/A
322,461,03/26/2020,1626.32,"gold eases on profit-taking, but poised for best week in 11 years",gold jumps as record high u.s. jobless claims fuel stimulus hopes,gold edges higher as gloomy u.s. jobs data dents dollar,gold falls ahead of u.s. jobless claims data,#N/A,#N/A
323,460,03/27/2020,1627.56,"gold eases, but eyes biggest weekly gain since 2008",gold slips but heads for biggest weekly gain since 2008,"gold eases on profit-taking, but set for best week since dec 2008",#N/A,#N/A,#N/A
324,459,03/30/2020,1616.7,gold prices set for sixth straight quarterly gain,"gold rises as coronavirus spreads, u.s. restrictions fuel safe-haven bids",gold gains as virus-led growth fears spur safe-haven buying,gold steady as investors opt for cash amid deepening virus fears,#N/A,#N/A
325,458,03/31/2020,1578.93,"gold recovers from 3% slump as dollar, asian equities ease","gold slides, but set for sixth straight quarterly gain","gold dips over 2% as dollar rises, but heads for quarterly gain","gold falls as dollar firms, shares rally; set to post quarterly gain",#N/A,#N/A
326,457,04/01/2020,1592.12,gold extends gains on worries about slump in global growth,gold gains as virus-led economic concerns boost safety buying,gold surges as recession fears spur safe-haven buying,gold surges as mounting fears over virus impact spur safe-haven buys,gold rises 1.4% on flight to safety driven by pandemic fears,gold rises on flight to safety driven by pandemic fears
327,456,04/02/2020,1613.16,"gold slips on firm dollar, poor u.s. data limits losses",gold jumps as record u.s. jobless claims lift safe-haven demand,gold prices gain as market braces for u.s. jobs data,gold dips as dollar holds firm; u.s. jobs data awaited,#N/A,#N/A
328,455,04/03/2020,1618.13,gold up on bleak u.s. payrolls data; stronger dollar caps gains,"gold edges up, holds tight range ahead of u.s. data","gold eases on firm dollar, but holds tight range ahead of u.s. data","gold steady ahead of u.s. data, stronger dollar caps gains",#N/A,#N/A
329,454,04/06/2020,1663.51,"gold slips from 4-week high as dollar, equities firm on coronavirus slowdown",gold jumps 2% as virus-led economic toll fuels stimulus measures,gold scales more than 3-week peak as coronavirus hits global economies,gold jumps as worsening virus fears drive safe-haven demand,#N/A,#N/A
330,453,04/07/2020,1648.53,"gold eases on firmer dollar, coronavirus slowdown signs",gold drops over 1% as virus slowdown hopes boost stock markets,gold dips on modest progress against coronavirus,gold falls from 1-month high as stocks gain on virus slowdown hopes,#N/A,#N/A
331,452,04/08/2020,1647.59,"gold inches up on weak dollar, pandemic peaking hopes cap gains",gold prices hold steady as markets await fed minutes,"gold ticks up as coronavirus worries deepen, fed minutes eyed","gold rises on coronavirus worries, firm dollar limits gains",#N/A,#N/A
332,451,04/09/2020,1683.8,advisory-no precious market report on april 10,gold hits 1-month peak fuelled by fed's new stimulus measures,"gold gains 1% on safe-haven demand, markets eye opec+ verdict","gold rises on safe-haven demand ahead of opec+ meet, holiday",#N/A,#N/A
